DATE,DSPIC96
1/1/1959,2187.2
2/1/1959,2193.8
3/1/1959,2206.4
4/1/1959,2220.7
5/1/1959,2232.8
6/1/1959,2240.2
7/1/1959,2236.7
8/1/1959,2223.5
9/1/1959,2224.4
10/1/1959,2226.1
11/1/1959,2242.1
12/1/1959,2263.9
1/1/1960,2268.8
2/1/1960,2269.2
3/1/1960,2271.9
4/1/1960,2280.6
5/1/1960,2285.6
6/1/1960,2287.7
7/1/1960,2291.4
8/1/1960,2286.2
9/1/1960,2289.4
10/1/1960,2297.8
11/1/1960,2288.3
12/1/1960,2278
1/1/1961,2300
2/1/1961,2309.6
3/1/1961,2319.3
4/1/1961,2324.1
5/1/1961,2343
6/1/1961,2367.1
7/1/1961,2375.2
8/1/1961,2375.3
9/1/1961,2377.4
10/1/1961,2402.5
11/1/1961,2424.7
12/1/1961,2439.5
1/1/1962,2433.4
2/1/1962,2444.4
3/1/1962,2460.6
4/1/1962,2471.5
5/1/1962,2472.9
6/1/1962,2473.3
7/1/1962,2484.1
8/1/1962,2486.4
9/1/1962,2487.1
10/1/1962,2499.4
11/1/1962,2506.3
12/1/1962,2518
1/1/1963,2536.1
2/1/1963,2521.2
3/1/1963,2531.8
4/1/1963,2542.2
5/1/1963,2551.9
6/1/1963,2564.8
7/1/1963,2567.6
8/1/1963,2577.9
9/1/1963,2597.2
10/1/1963,2612.2
11/1/1963,2617.8
12/1/1963,2638.9
1/1/1964,2647.7
2/1/1964,2656
3/1/1964,2719.1
4/1/1964,2733.8
5/1/1964,2748.2
6/1/1964,2757.2
7/1/1964,2770.3
8/1/1964,2782.6
9/1/1964,2793.6
10/1/1964,2792.8
11/1/1964,2810.9
12/1/1964,2837.9
1/1/1965,2843.4
2/1/1965,2844
3/1/1965,2853.5
4/1/1965,2856.6
5/1/1965,2888.2
6/1/1965,2892.4
7/1/1965,2922.6
8/1/1965,2937
9/1/1965,3013.8
10/1/1965,2999
11/1/1965,3020.3
12/1/1965,3032.7
1/1/1966,3034.8
2/1/1966,3047.5
3/1/1966,3059.4
4/1/1966,3047.8
5/1/1966,3052.6
6/1/1966,3065.4
7/1/1966,3075.9
8/1/1966,3091.8
9/1/1966,3110.1
10/1/1966,3120.2
11/1/1966,3134.5
12/1/1966,3131.8
1/1/1967,3164
2/1/1967,3170.2
3/1/1967,3194
4/1/1967,3193
5/1/1967,3199.5
6/1/1967,3211.3
7/1/1967,3224.1
8/1/1967,3235.7
9/1/1967,3235.3
10/1/1967,3240.3
11/1/1967,3259.9
12/1/1967,3265.8
1/1/1968,3283.3
2/1/1968,3307.1
3/1/1968,3338.2
4/1/1968,3349.9
5/1/1968,3363.5
6/1/1968,3378.7
7/1/1968,3371.8
8/1/1968,3376.1
9/1/1968,3376.5
10/1/1968,3388.5
11/1/1968,3401.2
12/1/1968,3412.9
1/1/1969,3406.8
2/1/1969,3407.5
3/1/1969,3413.6
4/1/1969,3408.6
5/1/1969,3447.4
6/1/1969,3471.8
7/1/1969,3496
8/1/1969,3517.4
9/1/1969,3525.2
10/1/1969,3533.5
11/1/1969,3539.6
12/1/1969,3546
1/1/1970,3564.8
2/1/1970,3576.1
3/1/1970,3589.8
4/1/1970,3628.4
5/1/1970,3613.7
6/1/1970,3621.1
7/1/1970,3672.4
8/1/1970,3684.2
9/1/1970,3680.2
10/1/1970,3668.2
11/1/1970,3662.7
12/1/1970,3679.4
1/1/1971,3735.8
2/1/1971,3740.9
3/1/1971,3753.2
4/1/1971,3761
5/1/1971,3776.2
6/1/1971,3856.1
7/1/1971,3801.2
8/1/1971,3814.6
9/1/1971,3837.2
10/1/1971,3849.6
11/1/1971,3858.7
12/1/1971,3878.3
1/1/1972,3858.7
2/1/1972,3882.4
3/1/1972,3898.6
4/1/1972,3896.9
5/1/1972,3925.6
6/1/1972,3938
7/1/1972,3966.7
8/1/1972,4003.5
9/1/1972,4019
10/1/1972,4119.9
11/1/1972,4165.6
12/1/1972,4184.2
1/1/1973,4162.4
2/1/1973,4193.3
3/1/1973,4208.6
4/1/1973,4214
5/1/1973,4221.9
6/1/1973,4234.4
7/1/1973,4244.5
8/1/1973,4230.8
9/1/1973,4252.3
10/1/1973,4289.7
11/1/1973,4296.5
12/1/1973,4280.6
1/1/1974,4249.3
2/1/1974,4217.3
3/1/1974,4187.2
4/1/1974,4184.2
5/1/1974,4180
6/1/1974,4171.6
7/1/1974,4187.6
8/1/1974,4181.9
9/1/1974,4177.5
10/1/1974,4191.3
11/1/1974,4169
12/1/1974,4169.7
1/1/1975,4167.5
2/1/1975,4170.1
3/1/1975,4173.9
4/1/1975,4250.2
5/1/1975,4495.6
6/1/1975,4344.4
7/1/1975,4277.4
8/1/1975,4305.9
9/1/1975,4316.4
10/1/1975,4334.5
11/1/1975,4331.2
12/1/1975,4335.4
1/1/1976,4363.5
2/1/1976,4390.5
3/1/1976,4403.6
4/1/1976,4409.3
5/1/1976,4409.4
6/1/1976,4413.7
7/1/1976,4438.9
8/1/1976,4447.9
9/1/1976,4448.9
10/1/1976,4441.1
11/1/1976,4481.1
12/1/1976,4498.2
1/1/1977,4489.2
2/1/1977,4449.5
3/1/1977,4511.8
4/1/1977,4518.7
5/1/1977,4519.6
6/1/1977,4538.4
7/1/1977,4567.7
8/1/1977,4586.3
9/1/1977,4611.3
10/1/1977,4644.9
11/1/1977,4682
12/1/1977,4701.6
1/1/1978,4681.3
2/1/1978,4709.2
3/1/1978,4748.3
4/1/1978,4764.8
5/1/1978,4761.7
6/1/1978,4762
7/1/1978,4785.8
8/1/1978,4806.1
9/1/1978,4807.5
10/1/1978,4820.5
11/1/1978,4824.8
12/1/1978,4848.9
1/1/1979,4872.3
2/1/1979,4892
3/1/1979,4905.1
4/1/1979,4865.1
5/1/1979,4842.5
6/1/1979,4829.8
7/1/1979,4864.8
8/1/1979,4871.5
9/1/1979,4867
10/1/1979,4864.1
11/1/1979,4877.3
12/1/1979,4887
1/1/1980,4920.8
2/1/1980,4894.4
3/1/1980,4863.7
4/1/1980,4858.4
5/1/1980,4840.6
6/1/1980,4851.2
7/1/1980,4893.9
8/1/1980,4899.2
9/1/1980,4920.4
10/1/1980,4959.2
11/1/1980,4966.8
12/1/1980,4990
1/1/1981,4970.7
2/1/1981,4955.3
3/1/1981,4969.3
4/1/1981,4955.4
5/1/1981,4965.1
6/1/1981,4992.2
7/1/1981,5070.9
8/1/1981,5086
9/1/1981,5077.3
10/1/1981,5083.9
11/1/1981,5086.9
12/1/1981,5080.3
1/1/1982,5086.9
2/1/1982,5100.9
3/1/1982,5100.1
4/1/1982,5150.5
5/1/1982,5129
6/1/1982,5100.8
7/1/1982,5146.9
8/1/1982,5154.7
9/1/1982,5152.4
10/1/1982,5146.3
11/1/1982,5166.1
12/1/1982,5190.1
1/1/1983,5207
2/1/1983,5208.6
3/1/1983,5233.1
4/1/1983,5244.2
5/1/1983,5254.5
6/1/1983,5258.6
7/1/1983,5324.9
8/1/1983,5314.9
9/1/1983,5353.7
10/1/1983,5402
11/1/1983,5449.1
12/1/1983,5498.7
1/1/1984,5524.3
2/1/1984,5557.4
3/1/1984,5594.2
4/1/1984,5632.8
5/1/1984,5641.5
6/1/1984,5679.1
7/1/1984,5686.3
8/1/1984,5725.1
9/1/1984,5765.8
10/1/1984,5744.2
11/1/1984,5769
12/1/1984,5804.2
1/1/1985,5802.3
2/1/1985,5748.5
3/1/1985,5721.9
4/1/1985,5816.7
5/1/1985,5958.5
6/1/1985,5833.4
7/1/1985,5845.8
8/1/1985,5841.5
9/1/1985,5866.4
10/1/1985,5895.5
11/1/1985,5904.3
12/1/1985,5939.5
1/1/1986,5950
2/1/1986,5980.7
3/1/1986,6041.8
4/1/1986,6064.9
5/1/1986,6070.9
6/1/1986,6066.5
7/1/1986,6098.3
8/1/1986,6107.4
9/1/1986,6113
10/1/1986,6109.3
11/1/1986,6113.2
12/1/1986,6123.9
1/1/1987,6147.5
2/1/1987,6180.1
3/1/1987,6187.9
4/1/1987,5955.6
5/1/1987,6197
6/1/1987,6188.8
7/1/1987,6206
8/1/1987,6232.1
9/1/1987,6232.2
10/1/1987,6272.3
11/1/1987,6296.7
12/1/1987,6353
1/1/1988,6366.4
2/1/1988,6403.6
3/1/1988,6429.7
4/1/1988,6451.8
5/1/1988,6460.8
6/1/1988,6484.8
7/1/1988,6511.8
8/1/1988,6530.1
9/1/1988,6542.7
10/1/1988,6577.6
11/1/1988,6579.8
12/1/1988,6612.2
1/1/1989,6640.5
2/1/1989,6660.2
3/1/1989,6693.7
4/1/1989,6659.3
5/1/1989,6628.8
6/1/1989,6647.6
7/1/1989,6670.9
8/1/1989,6688.6
9/1/1989,6708.6
10/1/1989,6741.7
11/1/1989,6748.1
12/1/1989,6748.2
1/1/1990,6787.8
2/1/1990,6801.9
3/1/1990,6803.6
4/1/1990,6847.3
5/1/1990,6839.1
6/1/1990,6848.9
7/1/1990,6872.7
8/1/1990,6829.5
9/1/1990,6826.2
10/1/1990,6770.2
11/1/1990,6771.9
12/1/1990,6810.8
1/1/1991,6791.5
2/1/1991,6800.8
3/1/1991,6811.6
4/1/1991,6838.3
5/1/1991,6839.6
6/1/1991,6875.1
7/1/1991,6861.8
8/1/1991,6878
9/1/1991,6897.1
10/1/1991,6907.6
11/1/1991,6918.8
12/1/1991,6982.1
1/1/1992,7051.6
2/1/1992,7084
3/1/1992,7091.7
4/1/1992,7112.9
5/1/1992,7147.1
6/1/1992,7177.8
7/1/1992,7173
8/1/1992,7198.8
9/1/1992,7165.6
10/1/1992,7119.7
11/1/1992,7130.6
12/1/1992,7384.7
1/1/1993,7223.5
2/1/1993,7257.7
3/1/1993,7235.1
4/1/1993,7272.7
5/1/1993,7262.2
6/1/1993,7248.8
7/1/1993,7267.1
8/1/1993,7277.7
9/1/1993,7257.8
10/1/1993,7222.3
11/1/1993,7242.4
12/1/1993,7489.1
1/1/1994,7348.8
2/1/1994,7362.9
3/1/1994,7387.3
4/1/1994,7387.6
5/1/1994,7472.8
6/1/1994,7461
7/1/1994,7467.2
8/1/1994,7476
9/1/1994,7508.6
10/1/1994,7579.9
11/1/1994,7579.7
12/1/1994,7614.2
1/1/1995,7638.9
2/1/1995,7654.3
3/1/1995,7675.4
4/1/1995,7618.8
5/1/1995,7695.9
6/1/1995,7719
7/1/1995,7736.3
8/1/1995,7741.6
9/1/1995,7766.9
10/1/1995,7775.7
11/1/1995,7797.1
12/1/1995,7807.8
1/1/1996,7818.5
2/1/1996,7879
3/1/1996,7904.5
4/1/1996,7857
5/1/1996,7956.5
6/1/1996,8004.7
7/1/1996,7983.8
8/1/1996,8004.2
9/1/1996,8023.1
10/1/1996,8022.6
11/1/1996,8044.5
12/1/1996,8072
1/1/1997,8095.1
2/1/1997,8117.7
3/1/1997,8156.2
4/1/1997,8162.4
5/1/1997,8198.2
6/1/1997,8224.5
7/1/1997,8255.6
8/1/1997,8298.5
9/1/1997,8320.2
10/1/1997,8361.4
11/1/1997,8415.4
12/1/1997,8463.9
1/1/1998,8538.3
2/1/1998,8592.2
3/1/1998,8641.5
4/1/1998,8668.8
5/1/1998,8704.1
6/1/1998,8753.5
7/1/1998,8769
8/1/1998,8797.3
9/1/1998,8823.3
10/1/1998,8836.1
11/1/1998,8872.6
12/1/1998,8889.9
1/1/1999,8923.4
2/1/1999,8953.2
3/1/1999,8962.3
4/1/1999,8944.9
5/1/1999,8962
6/1/1999,8992.5
7/1/1999,9002.6
8/1/1999,9043
9/1/1999,9037.4
10/1/1999,9094.7
11/1/1999,9160.3
12/1/1999,9234.7
1/1/2000,9307.1
2/1/2000,9342.6
3/1/2000,9366.5
4/1/2000,9409.8
5/1/2000,9446.4
6/1/2000,9469.6
7/1/2000,9516.6
8/1/2000,9568.5
9/1/2000,9569.8
10/1/2000,9582.9
11/1/2000,9579
12/1/2000,9595.3
1/1/2001,9651.9
2/1/2001,9668.6
3/1/2001,9697.2
4/1/2001,9670.8
5/1/2001,9648.1
6/1/2001,9648.4
7/1/2001,9790.7
8/1/2001,9958.9
9/1/2001,9886.2
10/1/2001,9732.3
11/1/2001,9754.3
12/1/2001,9774.4
1/1/2002,9968.4
2/1/2002,9976.4
3/1/2002,9975.9
4/1/2002,10011.3
5/1/2002,10044.8
6/1/2002,10067
7/1/2002,10035
8/1/2002,10028.9
9/1/2002,10032.9
10/1/2002,10060.7
11/1/2002,10090.6
12/1/2002,10124.4
1/1/2003,10124.6
2/1/2003,10098.3
3/1/2003,10124
4/1/2003,10177
5/1/2003,10254.7
6/1/2003,10285
7/1/2003,10408.7
8/1/2003,10476.8
9/1/2003,10350.6
10/1/2003,10390.6
11/1/2003,10456.5
12/1/2003,10470.9
1/1/2004,10461
2/1/2004,10479.2
3/1/2004,10522.1
4/1/2004,10566.2
5/1/2004,10623.7
6/1/2004,10632.7
7/1/2004,10654.4
8/1/2004,10685.5
9/1/2004,10690.7
10/1/2004,10697.8
11/1/2004,10670.2
12/1/2004,11066.7
1/1/2005,10669.4
2/1/2005,10673.8
3/1/2005,10711.8
4/1/2005,10745.9
5/1/2005,10795
6/1/2005,10818.5
7/1/2005,10821.3
8/1/2005,10835.1
9/1/2005,10798.2
10/1/2005,10877.4
11/1/2005,10967.9
12/1/2005,11025.5
1/1/2006,11137
2/1/2006,11176.3
3/1/2006,11196.8
4/1/2006,11191.5
5/1/2006,11186.7
6/1/2006,11214
7/1/2006,11204.8
8/1/2006,11201.5
9/1/2006,11272.7
10/1/2006,11330.6
11/1/2006,11374.6
12/1/2006,11418.3
1/1/2007,11429.1
2/1/2007,11472.6
3/1/2007,11512.3
4/1/2007,11511.4
5/1/2007,11504.4
6/1/2007,11486.6
7/1/2007,11496.2
8/1/2007,11504.7
9/1/2007,11532.1
10/1/2007,11513.9
11/1/2007,11500.4
12/1/2007,11542.1
1/1/2008,11553.7
2/1/2008,11551.7
3/1/2008,11547
4/1/2008,11500.7
5/1/2008,12051.9
6/1/2008,11733
7/1/2008,11548.3
8/1/2008,11482.4
9/1/2008,11514.3
10/1/2008,11576.8
11/1/2008,11664.4
12/1/2008,11605.8
1/1/2009,11646.8
2/1/2009,11526.6
3/1/2009,11523.2
4/1/2009,11626.7
5/1/2009,11819.2
6/1/2009,11624
7/1/2009,11570.1
8/1/2009,11540.6
9/1/2009,11562.2
10/1/2009,11512.6
11/1/2009,11544.2
12/1/2009,11607.5
1/1/2010,11608.6
2/1/2010,11606.4
3/1/2010,11644.3
4/1/2010,11741.3
5/1/2010,11835.7
6/1/2010,11856.6
7/1/2010,11876.2
8/1/2010,11910.7
9/1/2010,11899
10/1/2010,11916.3
11/1/2010,11942.6
12/1/2010,12026.9
1/1/2011,12076.4
2/1/2011,12106.2
3/1/2011,12069.3
4/1/2011,12047
5/1/2011,12034.6
6/1/2011,12091
7/1/2011,12126.4
8/1/2011,12113.1
9/1/2011,12091.2
10/1/2011,12112.8
11/1/2011,12110.5
12/1/2011,12220.2
1/1/2012,12311
2/1/2012,12385.4
3/1/2012,12429.3
4/1/2012,12477.1
5/1/2012,12487.5
6/1/2012,12498.7
7/1/2012,12410.1
8/1/2012,12362.6
9/1/2012,12422.5
10/1/2012,12516.4
11/1/2012,12693.1
12/1/2012,13016.3
1/1/2013,12266.8
2/1/2013,12205.2
3/1/2013,12223.9
4/1/2013,12271.9
5/1/2013,12342.2
6/1/2013,12355
7/1/2013,12341.5
8/1/2013,12368.7
9/1/2013,12418.7
10/1/2013,12386
11/1/2013,12425.3
12/1/2013,12464.3
1/1/2014,12532
2/1/2014,12618
3/1/2014,12693.3
4/1/2014,12725.5
5/1/2014,12760.6
6/1/2014,12811.7
7/1/2014,12854.8
8/1/2014,12915.5
9/1/2014,12950.4
10/1/2014,13001.2
11/1/2014,13055.5
12/1/2014,13138.9
1/1/2015,13205.4
2/1/2015,13251.2
3/1/2015,13223.3
4/1/2015,13286.9
5/1/2015,13331.7
6/1/2015,13364.8
7/1/2015,13404.2
8/1/2015,13446.6
9/1/2015,13470.3
10/1/2015,13475.7
11/1/2015,13447.7
12/1/2015,13490.7
1/1/2016,13546.5
2/1/2016,13561.7
3/1/2016,13578.5
4/1/2016,13551.9
5/1/2016,13538.2
6/1/2016,13534.4
7/1/2016,13571.6
8/1/2016,13583.4
9/1/2016,13623.7
10/1/2016,13654.5
11/1/2016,13688.5
12/1/2016,13713.1
1/1/2017,13772.9
2/1/2017,13832.9
3/1/2017,13900.3
4/1/2017,13875.3
5/1/2017,13932.5
6/1/2017,13921.6
7/1/2017,13961.7
8/1/2017,13987.9
9/1/2017,14009.2
10/1/2017,14046.8
11/1/2017,14060.8
12/1/2017,14090.2
1/1/2018,14185.7
2/1/2018,14212.5
3/1/2018,14261.3
4/1/2018,14259.7
5/1/2018,14274.3
6/1/2018,14312
7/1/2018,14336.4
8/1/2018,14374.8
9/1/2018,14385
10/1/2018,14434
11/1/2018,14460.5
